Index,Time,Wind Value(mph),Temp(°F),,,,,,Start time ,end time ,Max wind Speed 
0, 09:42:00,1.7,70.3,,,,,Check the anemometer,9:42:00,9:43:19,
1, 09:42:01,1.5,70.3,,,,,Test2 / high speed ,11:03:00,11:04:00,15.2
2, 09:42:02,1.3,70.3,,,,,Test 4/ high speed/ no brace root,11:17:07,11:19,15.3
3, 09:42:03,1.3,70.3,,,,,,,,
4, 09:42:04,1.1,70.3,,,,,,,,
5, 09:42:05,0.6,70.3,,,,,,,,
6, 09:42:06,0.2,70.5,,,,,,,,
0, 09:42:07,0.6,70.5,,,,,,,,
1, 09:42:08,0.4,70.5,,,,,,,,
2, 09:42:09,0,70.5,,,,,,,,
3, 09:42:10,1.3,70.5,,,,,,,,
4, 09:42:11,1.3,70.5,,,,,,,,
5, 09:42:12,0.8,70.5,,,,,,,,
6, 09:42:13,1.1,70.5,,,,,,,,
7, 09:42:14,1.3,70.5,,,,,,,,
8, 09:42:15,2,70.5,,,,,,,,
9, 09:42:16,2,70.5,,,,,,,,
10, 09:42:17,1.7,70.5,,,,,,,,
11, 09:42:18,1.3,70.5,,,,,,,,
12, 09:42:19,1.1,70.5,,,,,,,,
13, 09:42:20,1.1,70.7,,,,,,,,
14, 09:42:21,0.4,70.7,,,,,,,,
15, 09:42:22,0,70.7,,,,,,,,
16, 09:42:23,0.4,70.7,,,,,,,,
17, 09:42:24,0,70.8,,,,,,,,
18, 09:42:25,0.4,70.8,,,,,,,,
19, 09:42:26,0,70.8,,,,,,,,
20, 09:42:27,0,70.8,,,,,,,,
21, 09:42:28,0.2,71,,,,,,,,
22, 09:42:30,0.4,71,,,,,,,,
23, 09:42:31,0.2,71,,,,,,,,
24, 09:42:32,0.4,71,,,,,,,,
25, 09:42:33,0.2,71,,,,,,,,
26, 09:42:34,0.2,71,,,,,,,,
27, 09:42:35,0.2,71,,,,,,,,
28, 09:42:36,0.2,71.2,,,,,,,,
29, 09:42:37,0.2,71.2,,,,,,,,
30, 09:42:38,0.2,71.2,,,,,,,,
31, 09:42:39,0,71.2,,,,,,,,
32, 09:42:40,0.4,71.4,,,,,,,,
33, 09:42:41,1.1,71.4,,,,,,,,
34, 09:42:42,1.5,71.4,,,,,,,,
35, 09:42:43,1.5,71.4,,,,,,,,
36, 09:42:44,1.3,71.6,,,,,,,,
37, 09:42:45,1.1,71.6,,,,,,,,
38, 09:42:46,0.8,71.6,,,,,,,,
39, 09:42:47,0.8,71.6,,,,,,,,
40, 09:42:48,0.6,71.6,,,,,,,,
41, 09:42:49,0.6,71.6,,,,,,,,
42, 09:42:50,0.6,71.7,,,,,,,,
43, 09:42:51,0.4,71.7,,,,,,,,
44, 09:42:52,0.6,71.7,,,,,,,,
0, 09:42:53,0.4,71.7,,,,,,,,
1, 09:42:54,0.4,71.7,,,,,,,,
2, 09:42:55,0.2,71.7,,,,,,,,
3, 09:42:56,0,71.7,,,,,,,,
4, 09:42:57,0,71.7,,,,,,,,
5, 09:42:58,0.2,71.9,,,,,,,,
6, 09:42:59,0.2,71.9,,,,,,,,
7, 09:43:00,0.2,71.9,,,,,,,,
8, 09:43:01,0.6,71.9,,,,,,,,
9, 09:43:02,0.8,71.9,,,,,,,,
10, 09:43:03,0.8,71.9,,,,,,,,
11, 09:43:04,0.8,71.9,,,,,,,,
12, 09:43:05,1.1,71.9,,,,,,,,
13, 09:43:06,0.6,71.9,,,,,,,,
14, 09:43:07,0.6,71.9,,,,,,,,
15, 09:43:08,0.8,71.9,,,,,,,,
16, 09:43:09,0.6,71.9,,,,,,,,
17, 09:43:10,0.4,71.9,,,,,,,,
18, 09:43:11,0.6,71.9,,,,,,,,
19, 09:43:12,1.3,72.1,,,,,,,,
20, 09:43:13,1.3,72.1,,,,,,,,
21, 09:43:14,1.3,72.3,,,,,,,,
22, 09:43:15,0.8,72.3,,,,,,,,
23, 09:43:16,0.4,72.3,,,,,,,,
24, 09:43:17,0.6,72.3,,,,,,,,
25, 09:43:18,0.2,72.5,,,,,,,,
26, 09:43:19,0.2,72.5,,,,,,,,
28, 10:59:17,0.2,72.5,,,,,,,,
29, 10:59:18,0.2,72.5,,,,,,,,
30, 10:59:19,0.2,71.4,,,,,,,,
31, 10:59:20,0,71.4,,,,,,,,
32, 10:59:21,0,71.4,,,,,,,,
33, 10:59:22,0.2,71.4,,,,,,,,
34, 10:59:23,0.2,71.4,,,,,,,,
35, 10:59:24,0,71.4,,,,,,,,
36, 10:59:25,0,71.4,,,,,,,,
37, 10:59:26,0,71.4,,,,,,,,
38, 10:59:27,0,71.2,,,,,,,,
